"t / s";"CH1 / V";"CH2 / V";"MATH / V";"f / Hz";"SP1 / dB";"SP2 / dB";"SPM / dB"
0;-1,36;2;0,64;0;-60;-60;-60
1e-06;-1,36;2;0,64;50;-60;-60;-60
2e-06;-1,36;2;0,64;100;-60;-60;-60
3e-06;-1,36;2;0,64;150;-60;-60;-60
4e-06;-1,364;2;0,636;200;-60;-60;-60
5e-06;-1,4;2;0,6;250;-60;-60;-60
6e-06;-1,4;2;0,6;300;-60;-60;-60
7e-06;-1,4;2;0,6;350;-60;-60;-60
8e-06;-1,4;2;0,6;400;-60;-60;-60
9e-06;-1,4;2;0,6;450;-60;-8,34089;-8,34042
1e-05;-1,4;2;0,6;500;-60;-0,912108;-0,912324
1,1e-05;-1,4;2;0,6;550;-60;-8,3088;-8,30825
1,2e-05;-1,4;2;0,6;600;-60;-60;-60
1,3e-05;-1,4;2;0,6;650;-60;-60;-60
1,4e-05;-1,408;2;0,592;700;-60;-60;-60
1,5e-05;-1,44;2;0,56;750;-60;-60;-60
1,6e-05;-1,44;2;0,56;800;-60;-60;-60
1,7e-05;-1,44;2;0,56;850;-60;-60;-60
1,8e-05;-1,44;2;0,56;900;-60;-60;-60
1,9e-05;-1,44;2;0,56;950;-8,27072;-60;-8,27075
2e-05;-1,44;2;0,56;1.000;-0,825646;-60;-0,82565
2,1e-05;-1,44;2;0,56;1.050;-8,20652;-60;-8,20647
2,2e-05;-1,44;2;0,56;1.100;-60;-60;-60
2,3e-05;-1,44;2;0,56;1.150;-60;-60;-60
2,4e-05;-1,452;2;0,548;1.200;-60;-60;-60
2,5e-05;-1,48;2;0,52;1.250;-60;-60;-60
2,6e-05;-1,48;2;0,52;1.300;-60;-60;-60
2,7e-05;-1,48;2;0,52;1.350;-60;-60;-60
2,8e-05;-1,48;2;0,52;1.400;-60;-60;-60
2,9e-05;-1,48;2;0,52;1.450;-60;-17,9155;-17,9157
3e-05;-1,48;2;0,52;1.500;-60;-10,4546;-10,4546
3,1e-05;-1,48;2;0,52;1.550;-60;-17,8193;-17,819
3,2e-05;-1,48;2;0,52;1.600;-60;-60;-60
3,3e-05;-1,48;2;0,52;1.650;-60;-60;-60
3,4e-05;-1,496;2;0,504;1.700;-60;-60;-60
3,5e-05;-1,52;2;0,48;1.750;-60;-60;-60
3,6e-05;-1,52;2;0,48;1.800;-60;-60;-60
3,7e-05;-1,52;2;0,48;1.850;-60;-60;-60
3,8e-05;-1,52;2;0,48;1.900;-60;-60;-60
3,9e-05;-1,52;2;0,48;1.950;-14,3233;-60;-14,3234
4e-05;-1,52;2;0,48;2.000;-6,84649;-60;-6,8465
4,1e-05;-1,52;2;0,48;2.050;-14,1949;-60;-14,1948
4,2e-05;-1,52;2;0,48;2.100;-60;-60;-60
4,3e-05;-1,52;2;0,48;2.150;-60;-60;-60
4,4e-05;-1,54;2;0,46;2.200;-60;-60;-60
4,5e-05;-1,56;2;0,44;2.250;-60;-60;-60
4,6e-05;-1,56;2;0,44;2.300;-60;-60;-60
4,7e-05;-1,56;2;0,44;2.350;-60;-60;-60
4,8e-05;-1,56;2;0,44;2.400;-60;-60;-60
4,9e-05;-1,56;2;0,44;2.450;-60;-22,3848;-22,3858
5e-05;-1,56;2;0,44;2.500;-60;-14,8918;-14,8915
5,1e-05;-1,56;2;0,44;2.550;-60;-22,2244;-22,2244
5,2e-05;-1,56;2;0,44;2.600;-60;-60;-60
5,3e-05;-1,56;2;0,44;2.650;-60;-60;-60
5,4e-05;-1,584;2;0,416;2.700;-60;-60;-60
5,5e-05;-1,6;2;0,4;2.750;-60;-60;-60
5,6e-05;-1,6;2;0,4;2.800;-60;-60;-60
5,7e-05;-1,6;2;0,4;2.850;-60;-60;-60
5,8e-05;-1,6;2;0,4;2.900;-60;-60;-60
